rank;Youtuber;subscribers;video views;video count;category;started
1;Tsuriki Show;34100000;42490526838;4739;Entertainment;2019
2;Kidibli (Kinder Spielzeug Kanal);29600000;15673364837;1236;Entertainment;2015
3;Kurzgesagt – In a Nutshell;23600000;3145706013;271;Education;2013
4;boxtoxtv;23500000;18303986629;1559;Comedy;2022
5;HaerteTest;19500000;3420864412;1712;Science & Technology;2011
6;Noel Robinson;18600000;10752582783;1639;Entertainment;2015
7;FAMILY BOOMS;16800000;16225259066;1587;Entertainment;2021
8;Talking Angela;13300000;4116834514;345;Entertainment;2014
9;Ice Cream Rolls;12400000;1709743695;2725;Entertainment;2011
10;The Voice Kids;12200000;4238778683;1756;Entertainment;2013
11;Electric Squad;11700000;1108711604;244;Gaming;2022
12;German Spidey;10900000;11280067476;1479;Comedy;2021
13;Pamela Reif;10200000;2039097393;283;Howto & Style;2013
14;ag_soccer team;9050000;9196775078;1636;Sports;2021
15;Ameer Bros;8770000;1664205957;291;Entertainment;2018
16;Dave Ardito;8660000;3623871897;259;Entertainment;2020
17;Rammstein Official;8600000;6634639951;158;Entertainment;2015
18;freekickerz;8540000;2445688173;1679;Sports;2010
19;COLORS;7850000;3200956695;1364;Music;2016
20;growingannanas;7110000;3804512320;1055;Sports;2017
21;TikTokTunes;6990000;4713201758;1223;Music;2019
22;EugenBro;6940000;2491287963;1342;Gaming;2015
23;TheFatRat;6560000;2141174546;130;Music;2011
24;Zedd;6220000;3650280131;211;Music;2010
25;Mascha und der Bär;6180000;2779346690;1572;Shows;2016
26;Ali Omar;6140000;703764460;868;Entertainment;2018
27;Unique Vibes;5950000;3676275292;1251;Music;2016
28;nadinebreaty;5840000;4191817862;1412;People & Blogs;2014
29;BibisBeautyPalace;5770000;2896617685;945;Howto & Style;2012
30;DW Documental;5670000;1305835435;670;People & Blogs;2017
31;DW News;5620000;2613368435;37999;News & Politics;2007
32;Paluten;5530000;5564401210;8339;Gaming;2012
33;Nik Wild Animals;5490000;4475179345;1188;Pets & Animals;2022
34;Free Documentary;5330000;1150376066;837;Entertainment;2013
35;CloudKid;5330000;3099493859;2945;Entertainment;2013
36;Essen Recipes;5200000;1166586395;602;People & Blogs;2020
37;Bundesliga;5180000;2834833011;10282;Sports;2006
38;SKITS German;5150000;4640958734;2964;Howto & Style;2023
39;Scorpions;5010000;3770294329;606;Entertainment;2008
40;Gronkh;5000000;3886153257;16710;Gaming;2006
41;DW Español;4940000;2891368309;44940;News & Politics;2012
42;Garri Creative;4890000;1449298471;446;People & Blogs;2022
43;KinoCheck.com;4760000;3894636092;7109;Entertainment;2014
44;FC Bayern München;4720000;2441991235;6454;Sports;2006
45;ProsafiaGaming;4700000;4919466523;2196;Gaming;2010
46;ArkivaShqip;4610000;7678417494;8859;Entertainment;2009
47;Dhruv Rathee Shorts;4450000;1923245405;313;People & Blogs;2022
48;Livani's Studio;4420000;1508791423;216;Film & Animation;2013
49;Calisthenicmovement;4270000;541985913;371;Sports;2012
50;Craftronix;4180000;1295205099;416;Film & Animation;2013
51;Simon Desue;4140000;833801150;703;Entertainment;2009
52;Mohamad Gowani محمد جواني;4120000;130780742;108;Entertainment;2016
53;TheKAIRI78;4020000;1462621139;4774;Gaming;2011
54;FilmSelect;4020000;2031884349;2560;Entertainment;2016
55;Hausgemachte Rezepte;4010000;718272915;554;People & Blogs;2020
56;Keluarga Bahagia Di Jerman;3960000;796365101;1021;People & Blogs;2013
57;Dagi Bee;3900000;1072868773;664;Howto & Style;2012
58;iCrimax;3850000;2266001019;3719;Gaming;2013
59;Fox Family - Official Channel;3840000;1098619128;855;Entertainment;2014
60;Freshtorge;3790000;1721122203;1002;Comedy;2009
61;GermanLetsPlay;3740000;2680488362;6905;Gaming;2010
62;Robin Schulz;3740000;4271593171;547;Music;2011
63;Family Bros;3700000;832837433;33;Entertainment;2019
64;BBlocks;3690000;1179106836;146;Gaming;2019
65;Maryna Aksenov;3680000;2863301815;2750;Music;2011
66;Ikram Bellanova;3640000;483790985;405;Howto & Style;2011
